FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
0	-122.417669	22.537566	-7256270.276	1335907.409	357	22.507332	-122.441486	22.547737	-122.392036	3093.623246	22.542753	-122.441273	-7257669.411	1336214.88	447	0	"Vent"	0
1	-109.170021	15.953844	-6471019.993	945659.2855	1974	15.894688	-109.182354	16.006522	-109.165936	210.639258	15.980351	-109.168023	-6470901.518	947230.4915	1976	0	"Vent"	1
2	-110.249233	14.85364	-6534989.927	880445.0077	1998	14.858483	-110.277284	14.846824	-110.215418	301.512998	14.86311	-110.284734	-6537094.271	881006.3542	2012	0	"Vent"	2
3	-107.88818	14.809409	-6395039.259	877823.2176	1799	14.79471	-107.891534	14.827785	-107.886299	278.267348	14.823828	-107.894462	-6395411.609	878677.9311	1805	0	"Vent"	3
4	-107.971581	14.162199	-6399982.786	839460.0791	1726	14.168029	-108.009652	14.140427	-107.949214	432.080908	14.160534	-107.996708	-6401472.188	839361.3498	1728	0	"Vent"	4
5	-108.583109	14.762692	-6436230.955	875054.0739	1944	14.761859	-108.591913	14.74782	-108.57835	901.261717	14.753602	-108.597862	-6437105.414	874515.2941	1948	0	"Vent"	5
6	-111.21054	21.725431	-6591971.136	1287768.337	2606	21.716508	-111.233621	21.720791	-111.198643	960.457591	21.721957	-111.231099	-6593189.737	1287562.416	2769	0	"Vent"	6
7	-110.793634	20.175055	-6567259.133	1195870.305	2747	20.188499	-110.801962	20.152569	-110.794586	883.765234	20.175579	-110.80772	-6568094.101	1195901.334	2882	0	"Vent"	7
8	-111.164562	20.484447	-6589245.762	1214209.383	2748	20.416513	-111.2319	20.549049	-111.095795	578.529455	20.464316	-111.199682	-6591327.54	1213016.169	2775	0	"Vent"	8
9	-110.52492	20.750204	-6551331.223	1229962.043	2769	20.649077	-110.654779	20.838839	-110.399582	745.823283	20.823301	-110.403711	-6544146.552	1234294.848	2803	0	"Vent"	9
10	-103.787028	3.653269	-6151944.696	216546.4092	5397	3.644503	-103.794601	3.641076	-103.779896	236.534342	3.637398	-103.776892	-6151343.858	215605.6602	5392	0	"Vent"	10
11	-101.801897	7.162583	-6034276.646	424559.9323	4096	7.016841	-101.890833	7.311894	-101.723081	268.072254	7.019473	-101.894169	-6039746.06	416077.1124	4124	0	"Vent"	11
12	-101.935957	6.923828	-6042223.04	410407.7832	4152	6.939401	-101.943072	6.895809	-101.941739	176.302289	6.894037	-101.940716	-6042505.123	408641.9394	4156	0	"Vent"	12
13	-97.269308	12.646888	-5765608.803	749640.4755	3065	12.635332	-97.276341	12.634047	-97.271844	234.422386	12.642034	-97.269498	-5765620.087	749352.7501	3065	0	"Vent"	13
14	-104.493347	16.272527	-6193811.521	964549.0867	2852	16.270179	-104.482588	16.263635	-104.482707	253.973223	16.263294	-104.478499	-6192931.42	964001.8444	2865	0	"Vent"	14
15	-127.220743	17.707837	-7540971.083	1049626.665	1060	17.725058	-127.302593	17.659385	-127.158112	224.118976	17.675762	-127.167824	-7537834.312	1047725.421	1065	0	"Vent"	15
16	-128.100477	16.685265	-7593117.043	989014.0265	924	16.683356	-128.109475	16.680738	-128.095674	156.581844	16.682885	-128.105236	-7593399.126	988872.9846	926	0	"Vent"	16
17	-127.962217	16.698486	-7584921.694	989797.7347	960	16.698566	-127.975005	16.696008	-127.95829	165.986522	16.700295	-127.973257	-7585576.128	989904.9265	962	0	"Vent"	17
18	-127.867777	15.334392	-7579323.778	908941.4376	1023	15.304797	-127.896152	15.350483	-127.843803	254.364554	15.340007	-127.862256	-7578996.561	909274.2963	1026	0	"Vent"	18
19	-127.335278	16.369204	-7547760.109	970279.6422	1154	16.387229	-127.357883	16.344161	-127.329449	254.266778	16.370632	-127.347271	-7548470.96	970364.2673	1176	0	"Vent"	19
20	-127.404001	16.947243	-7551833.643	1004542.69	1090	16.944566	-127.429105	16.938498	-127.391033	249.329089	16.934394	-127.387821	-7550874.559	1003781.064	1096	0	"Vent"	20
21	-117.635061	16.292572	-6972782.639	965737.2794	2135	16.189601	-117.669503	16.385014	-117.619535	564.51982	16.276106	-117.628589	-6972399.006	964761.2699	2182	0	"Vent"	21
22	-116.422691	17.89499	-6900919.783	1060720.107	2369	17.816007	-116.485622	17.950209	-116.364745	359.172377	17.878357	-116.455527	-6902866.16	1059734.225	2395	0	"Vent"	22
23	-115.050558	17.14972	-6819587.027	1016544.448	2276	17.115717	-115.114978	17.213573	-114.927001	596.141627	17.160356	-115.066548	-6820534.828	1017174.905	2284	0	"Vent"	23
24	-110.198979	30.666668	-6532011.167	1817757.483	3378	30.636776	-110.223071	30.661677	-110.20845	268.535647	30.63583	-110.215398	-6532984.356	1815929.58	3382	0	"Vent"	24
25	-112.004168	29.657293	-6639013.183	1757927.051	3189	29.636853	-112.00679	29.674544	-112.003935	353.238697	29.644915	-112.012049	-6639480.314	1757193.351	3192	0	"Vent"	25
26	-111.967714	30.040555	-6636852.368	1780644.811	3052	29.966079	-111.956744	30.088026	-111.936816	114.799733	29.981092	-111.957149	-6636226.142	1777120.176	3056	0	"Vent"	26
27	-109.238413	28.758111	-6475073.887	1704628.352	3550	28.741846	-109.240896	28.762666	-109.242085	537.626597	28.746904	-109.245837	-6475513.937	1703964.045	3585	0	"Vent"	27
28	-109.539401	28.071327	-6492914.839	1663919.438	3558	28.061202	-109.544792	28.069494	-109.542832	277.103232	28.066259	-109.543712	-6493170.407	1663619.019	3564	0	"Vent"	28
29	-109.05965	27.857643	-6464477.741	1651253.347	3481	27.849293	-109.06489	27.855003	-109.06828	321.62486	27.854859	-109.073926	-6465323.992	1651088.328	3484	0	"Vent"	29
30	-109.190188	28.069664	-6472215.391	1663820.869	3529	28.022521	-109.176031	28.106397	-109.216184	264.993543	28.103715	-109.208177	-6473281.668	1665839.178	3553	0	"Vent"	30
31	-108.589876	28.235125	-6436632.055	1673628.465	3471	28.247691	-108.597163	28.220773	-108.59523	204.99643	28.237623	-108.612148	-6437952.206	1673776.558	3480	0	"Vent"	31
32	-108.883381	28.161125	-6454029.448	1669242.153	3508	28.087347	-108.912618	28.195612	-108.879306	278.981313	28.221301	-108.865392	-6452963.172	1672809.101	3539	0	"Vent"	32
33	-108.8601	28.436337	-6452649.485	1685555.289	3557	28.413954	-108.856475	28.453691	-108.87908	243.16937	28.433696	-108.877232	-6453664.986	1685398.733	3562	0	"Vent"	33
34	-109.907427	30.067839	-6514729.518	1782262.062	3581	30.061017	-109.912234	30.074152	-109.909322	530.221624	30.058431	-109.925416	-6515795.794	1781704.383	3680	0	"Vent"	34
35	-109.801449	29.533609	-6508447.65	1750595.755	3802	29.501939	-109.832001	29.546435	-109.794286	409.992859	29.557451	-109.780019	-6507177.427	1752008.994	3845	0	"Vent"	35
