	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
0	0	-122.41766899999999	22.537566	-7256270.276000001	1335907.409	357	22.507332	-122.44148600000001	22.547736999999998	-122.392036	3093.623246	22.542753	-122.441273	-7257669.411	1336214.88	447	0	Vent	0		3608.1617309109993	1.1663222842588503	1	Equant	83.0	0.0	0.0
1	1	-109.17002099999999	15.953844	-6471019.993	945659.2855	1974	15.894688	-109.182354	16.006522	-109.16593600000002	210.639258	15.980351	-109.168023	-6470901.517999999	947230.4915	1976	0	Vent	1	8.032230778224966	6682.438403175748	31.724562964306244	0	NotEquant	64.0	1.0	1.0
2	2	-110.249233	14.853639999999999	-6534989.927	880445.0077	1998	14.858482999999998	-110.27728400000001	14.846824	-110.215418	301.512998	14.86311	-110.28473400000001	-6537094.271000001	881006.3542	2012	0	Vent	2	-78.97537790219899	3604.724366559291	11.955452635442573	0	NotEquant	29.0	1.0	1.0
3	3	-107.88818	14.809409	-6395039.259	877823.2176	1799	14.79471	-107.89153400000001	14.827785	-107.886299	278.26734799999997	14.823828	-107.894462	-6395411.609	878677.9311	1805	0	Vent	3	8.699113692782072	1979.7150224871414	7.114435224671569	0	NotEquant	1.0	1.0	1.0
4	4	-107.971581	14.162199	-6399982.786	839460.0791	1726	14.168029	-108.009652	14.140426999999999	-107.94921399999998	432.080908	14.160534	-107.99670800000001	-6401472.187999999	839361.3498	1728	0	Vent	4	-64.78702817695812	3832.7033859302005	8.87033727935556	0	NotEquant	17.0	1.0	1.0
5	5	-108.58310900000001	14.762692000000001	-6436230.955	875054.0739	1944	14.761859	-108.59191299999999	14.74782	-108.57835	901.261717	14.753601999999999	-108.597862	-6437105.414	874515.2941	1948	0	Vent	5		1136.7338255375569	1.2612694005481173	1	Equant	76.0	1.0	1.0
6	6	-111.21054	21.725431	-6591971.136	1287768.337	2606	21.716507999999997	-111.233621	21.720791000000002	-111.19864299999999	960.457591	21.721957	-111.231099	-6593189.737000001	1287562.416	2769	0	Vent	6	82.48494295389875	1939.2484296903783	2.019088034559954	0	NotEquant	1.0	2.0	2.0
7	7	-110.79363400000001	20.175055	-6567259.132999999	1195870.305	2747	20.188499	-110.80196200000002	20.152569	-110.79458600000001	883.765234	20.175579	-110.80771999999999	-6568094.101	1195901.334	2882	0	Vent	7	-10.908354052966871	2164.967572367949	2.449708914854133	0	NotEquant	164.0	2.0	2.0
8	8	-111.16456200000002	20.484447	-6589245.762	1214209.383	2748	20.416513000000002	-111.2319	20.549049	-111.095795	578.529455	20.464316	-111.19968200000001	-6591327.54	1213016.169	2775	0	Vent	8	43.86674323233856	10881.206300414002	18.808387725762387	0	NotEquant	49.0	2.0	2.0
9	9	-110.52492	20.750204	-6551331.222999999	1229962.043	2769	20.649077	-110.654779	20.838839	-110.39958200000001	745.8232830000001	20.823301	-110.40371100000002	-6544146.552	1234294.848	2803	0	Vent	9	51.465357875871696	18040.00110729963	24.188036923083867	0	NotEquant	5.0	2.0	2.0
10	10	-103.787028	3.6532690000000003	-6151944.696	216546.4092	5397	3.644503	-103.794601	3.6410760000000004	-103.779896	236.53434199999998	3.637398	-103.776892	-6151343.857999999	215605.6602	5392	0	Vent	10	-76.85620452338627	891.6485548940855	3.7696367781304483	0	NotEquant	1.0	3.0	3.0
11	11	-101.801897	7.162583000000001	-6034276.646000001	424559.9323	4096	7.016841	-101.890833	7.311894000000001	-101.72308100000001	268.072254	7.019473	-101.89416899999999	-6039746.06	416077.1124	4124	0	Vent	11	29.417351808688743	20043.376856486153	74.76856167474219	0	NotEquant	5.0	4.0	4.0
12	12	-101.935957	6.923828	-6042223.04	410407.7832	4152	6.939400999999999	-101.943072	6.895809	-101.941739	176.302289	6.894037	-101.94071600000001	-6042505.123	408641.9394	4156	0	Vent	12	-1.738840057688634	2580.3812181975127	14.636118639375763	0	NotEquant	12.0	4.0	4.0
13	13	-97.269308	12.646888	-5765608.802999999	749640.4755	3065	12.635332	-97.276341	12.634047	-97.27184399999999	234.422386	12.642033999999999	-97.269498	-5765620.087	749352.7501	3065	0	Vent	13		270.5325478667783	1.1540388803430162	1	Equant	1.0	4.0	4.0
14	14	-104.493347	16.272527	-6193811.521000001	964549.0867	2852	16.270179000000002	-104.482588	16.263635	-104.48270699999999	253.973223	16.263294000000002	-104.478499	-6192931.42	964001.8444	2865	0	Vent	14	1.0001055662698946	387.2456236601745	1.5247498105742214	0	NotEquant	1.0	1.0	1.0
15	15	-127.220743	17.707836999999998	-7540971.083	1049626.665	1060	17.725057999999997	-127.30259299999999	17.659385	-127.15811200000002	224.11897599999998	17.675762	-127.167824	-7537834.312000001	1047725.421	1065	0	Vent	15	-64.51568183451921	9023.596508035824	40.26252782823631	0	NotEquant	28.0	0.0	0.0
16	16	-128.100477	16.685265	-7593117.043	989014.0265	924	16.683356	-128.109475	16.680738	-128.095674	156.581844	16.682885	-128.10523600000002	-7593399.126	988872.9846	926	0	Vent	16	-78.80056397076241	797.3820040023767	5.092429515661961	0	NotEquant	3.0	0.0	0.0
17	17	-127.962217	16.698486	-7584921.694	989797.7347	960	16.698566	-127.97500500000001	16.696008	-127.95828999999999	165.986522	16.700295	-127.973257	-7585576.128	989904.9265	962	0	Vent	17	-80.92481520512706	959.2863699522647	5.779302791537886	0	NotEquant	4.0	0.0	0.0
