	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
0	0	-122.417669	22.537566	-7256270.276	1335907.409	357	22.507332	-122.441486	22.547737	-122.392036	3093.623246	22.542753	-122.441273	-7257669.411	1336214.88	447	0	Vent	0	1.16632228426	Equant	1	3608.16173091		83.0	0.0	
1	1	-109.170021	15.953844	-6471019.993	945659.2855	1974	15.894688	-109.182354	16.006522	-109.165936	210.639258	15.980351	-109.168023	-6470901.518	947230.4915	1976	0	Vent	1	31.7245629643	NotEquant	0	6682.43840318	8.03223077822	64.0	1.0	
2	2	-110.249233	14.85364	-6534989.927	880445.0077	1998	14.858483	-110.277284	14.846824	-110.215418	301.512998	14.86311	-110.284734	-6537094.271	881006.3542	2012	0	Vent	2	11.9554526354	NotEquant	0	3604.72436656	101.024622098	29.0	1.0	
3	3	-107.88818	14.809409	-6395039.259	877823.2176	1799	14.79471	-107.891534	14.827785	-107.886299	278.267348	14.823828	-107.894462	-6395411.609	878677.9311	1805	0	Vent	3	7.11443522467	NotEquant	0	1979.71502249	8.69911369278	1.0	1.0	
4	4	-107.971581	14.162199	-6399982.786	839460.0791	1726	14.168029	-108.009652	14.140427	-107.949214	432.080908	14.160534	-107.996708	-6401472.188	839361.3498	1728	0	Vent	4	8.87033727936	NotEquant	0	3832.70338593	115.212971823	17.0	1.0	
5	5	-108.583109	14.762692	-6436230.955	875054.0739	1944	14.761859	-108.591913	14.74782	-108.57835	901.261717	14.753602	-108.597862	-6437105.414	874515.2941	1948	0	Vent	5	1.26126940055	Equant	1	1136.73382554		76.0	1.0	
6	6	-111.21054	21.725431	-6591971.136	1287768.337	2606	21.716508	-111.233621	21.720791	-111.198643	960.457591	21.721957	-111.231099	-6593189.737	1287562.416	2769	0	Vent	6	2.01908803456	NotEquant	0	1939.24842969	82.4849429539	1.0	2.0	
7	7	-110.793634	20.175055	-6567259.133	1195870.305	2747	20.188499	-110.801962	20.152569	-110.794586	883.765234	20.175579	-110.80772	-6568094.101	1195901.334	2882	0	Vent	7	2.44970891485	NotEquant	0	2164.96757237	169.091645947	164.0	2.0	
8	8	-111.164562	20.484447	-6589245.762	1214209.383	2748	20.416513	-111.2319	20.549049	-111.095795	578.529455	20.464316	-111.199682	-6591327.54	1213016.169	2775	0	Vent	8	18.8083877258	NotEquant	0	10881.2063004	43.8667432323	49.0	2.0	
9	9	-110.52492	20.750204	-6551331.223	1229962.043	2769	20.649077	-110.654779	20.838839	-110.399582	745.823283	20.823301	-110.403711	-6544146.552	1234294.848	2803	0	Vent	9	24.1880369231	NotEquant	0	18040.0011073	51.4653578759	5.0	2.0	
10	10	-103.787028	3.653269	-6151944.696	216546.4092	5397	3.644503	-103.794601	3.641076	-103.779896	236.534342	3.637398	-103.776892	-6151343.858	215605.6602	5392	0	Vent	10	3.76963677813	NotEquant	0	891.648554894	103.143795477	1.0	3.0	
11	11	-101.801897	7.162583	-6034276.646	424559.9323	4096	7.016841	-101.890833	7.311894	-101.723081	268.072254	7.019473	-101.894169	-6039746.06	416077.1124	4124	0	Vent	11	74.7685616747	NotEquant	0	20043.3768565	29.4173518087	5.0	3.0	
12	12	-101.935957	6.923828	-6042223.04	410407.7832	4152	6.939401	-101.943072	6.895809	-101.941739	176.302289	6.894037	-101.940716	-6042505.123	408641.9394	4156	0	Vent	12	14.6361186394	NotEquant	0	2580.3812182	178.261159942	12.0	3.0	
13	13	-97.269308	12.646888	-5765608.803	749640.4755	3065	12.635332	-97.276341	12.634047	-97.271844	234.422386	12.642034	-97.269498	-5765620.087	749352.7501	3065	0	Vent	13	1.15403888034	Equant	1	270.532547867		1.0	1.0	
14	14	-104.493347	16.272527	-6193811.521	964549.0867	2852	16.270179	-104.482588	16.263635	-104.482707	253.973223	16.263294	-104.478499	-6192931.42	964001.8444	2865	0	Vent	14	1.52474981057	NotEquant	0	387.24562366	-178.999894434	1.0	1.0	
15	15	-127.220743	17.707837	-7540971.083	1049626.665	1060	17.725058	-127.302593	17.659385	-127.158112	224.118976	17.675762	-127.167824	-7537834.312	1047725.421	1065	0	Vent	15	40.2625278282	NotEquant	0	9023.59650804	115.484318165	28.0	0.0	
16	16	-128.100477	16.685265	-7593117.043	989014.0265	924	16.683356	-128.109475	16.680738	-128.095674	156.581844	16.682885	-128.105236	-7593399.126	988872.9846	926	0	Vent	16	5.09242951566	NotEquant	0	797.382004002	101.199436029	3.0	0.0	
17	17	-127.962217	16.698486	-7584921.694	989797.7347	960	16.698566	-127.975005	16.696008	-127.95829	165.986522	16.700295	-127.973257	-7585576.128	989904.9265	962	0	Vent	17	5.77930279154	NotEquant	0	959.286369952	99.0751847949	4.0	0.0	
18	18	-127.867777	15.334392	-7579323.778	908941.4376	1023	15.304797	-127.896152	15.350483	-127.843803	254.364554	15.340007	-127.862256	-7578996.561	909274.2963	1026	0	Vent	18	15.8379456487	NotEquant	0	4028.61198121	47.8509127329	7.0	0.0	
19	19	-127.335278	16.369204	-7547760.109	970279.6422	1154	16.387229	-127.357883	16.344161	-127.329449	254.266778	16.370632	-127.347271	-7548470.96	970364.2673	1176	0	Vent	19	11.8632495825	NotEquant	0	3016.43024795	147.643293947	18.0	0.0	
20	20	-127.404001	16.947243	-7551833.643	1004542.69	1090	16.944566	-127.429105	16.938498	-127.391033	249.329089	16.934394	-127.387821	-7550874.559	1003781.064	1096	0	Vent	20	8.76167593323	NotEquant	0	2184.54067854	99.4537709527	1.0	0.0	
21	21	-117.635061	16.292572	-6972782.639	965737.2794	2135	16.189601	-117.669503	16.385014	-117.619535	564.51982	16.276106	-117.628589	-6972399.006	964761.2699	2182	0	Vent	21	21.088894558	NotEquant	0	11905.0989599	13.7832166736	19.0	2.0	
22	22	-116.422691	17.89499	-6900919.783	1060720.107	2369	17.816007	-116.485622	17.950209	-116.364745	359.172377	17.878357	-116.455527	-6902866.16	1059734.225	2395	0	Vent	22	29.1175577938	NotEquant	0	10458.2224452	40.5843617825	184.0	2.0	
23	23	-115.050558	17.14972	-6819587.027	1016544.448	2276	17.115717	-115.114978	17.213573	-114.927001	596.141627	17.160356	-115.066548	-6820534.828	1017174.905	2284	0	Vent	23	20.2997303193	NotEquant	0	12101.5142602	61.3889181722	1.0	2.0	
24	24	-110.198979	30.666668	-6532011.167	1817757.483	3378	30.636776	-110.223071	30.661677	-110.20845	268.535647	30.63583	-110.215398	-6532984.356	1815929.58	3382	0	Vent	24	6.14670961358	NotEquant	0	1650.610643	26.7964748925	1.0	2.0	
25	25	-112.004168	29.657293	-6639013.183	1757927.051	3189	29.636853	-112.00679	29.674544	-112.003935	353.238697	29.644915	-112.012049	-6639480.314	1757193.351	3192	0	Vent	25	6.32681772531	NotEquant	0	2234.87684945	3.76539453574	14.0	2.0	
