FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent
0	-122.417669	22.537566	357	22.507332	-122.441486	22.547737	-122.392036	3093.6	-7257669.411	1336214.88	447	0	Vent
1	-109.170021	15.953844	1974	15.894688	-109.182354	16.006522	-109.165936	210.6	-6470901.518	947230.4915	1976	0	Vent
2	-110.249233	14.85364	1998	14.858483	-110.277284	14.846824	-110.215418	301.5	-6537094.271	881006.3542	2012	0	Vent
3	-107.88818	14.809409	1799	14.79471	-107.891534	14.827785	-107.886299	278.3	-6395411.609	878677.9311	1805	0	Vent
4	-107.971581	14.162199	1726	14.168029	-108.009652	14.140427	-107.949214	432.1	-6401472.188	839361.3498	1728	0	Vent
5	-108.583109	14.762692	1944	14.761859	-108.591913	14.74782	-108.57835	901.3	-6437105.414	874515.2941	1948	0	Vent
6	-111.21054	21.725431	2606	21.716508	-111.233621	21.720791	-111.198643	960.5	-6593189.737	1287562.416	2769	0	Vent
7	-110.793634	20.175055	2747	20.188499	-110.801962	20.152569	-110.794586	883.8	-6568094.101	1195901.334	2882	0	Vent
8	-111.164562	20.484447	2748	20.416513	-111.2319	20.549049	-111.095795	578.5	-6591327.54	1213016.169	2775	0	Vent
9	-110.52492	20.750204	2769	20.649077	-110.654779	20.838839	-110.399582	745.8	-6544146.552	1234294.848	2803	0	Vent
10	-103.787028	3.653269	5397	3.644503	-103.794601	3.641076	-103.779896	236.5	-6151343.858	215605.6602	5392	0	Vent
11	-101.801897	7.162583	4096	7.016841	-101.890833	7.311894	-101.723081	268.1	-6039746.06	416077.1124	4124	0	Vent
12	-101.935957	6.923828	4152	6.939401	-101.943072	6.895809	-101.941739	176.3	-6042505.123	408641.9394	4156	0	Vent
13	-97.269308	12.646888	3065	12.635332	-97.276341	12.634047	-97.271844	234.4	-5765620.087	749352.7501	3065	0	Vent
14	-104.493347	16.272527	2852	16.270179	-104.482588	16.263635	-104.482707	254	-6192931.42	964001.8444	2865	0	Vent
15	-127.220743	17.707837	1060	17.725058	-127.302593	17.659385	-127.158112	224.1	-7537834.312	1047725.421	1065	0	Vent
16	-128.100477	16.685265	924	16.683356	-128.109475	16.680738	-128.095674	156.6	-7593399.126	988872.9846	926	0	Vent
17	-127.962217	16.698486	960	16.698566	-127.975005	16.696008	-127.95829	166	-7585576.128	989904.9265	962	0	Vent
18	-127.867777	15.334392	1023	15.304797	-127.896152	15.350483	-127.843803	254.4	-7578996.561	909274.2963	1026	0	Vent
19	-127.335278	16.369204	1154	16.387229	-127.357883	16.344161	-127.329449	254.3	-7548470.96	970364.2673	1176	0	Vent
20	-127.404001	16.947243	1090	16.944566	-127.429105	16.938498	-127.391033	249.3	-7550874.559	1003781.064	1096	0	Vent
21	-117.635061	16.292572	2135	16.189601	-117.669503	16.385014	-117.619535	564.5	-6972399.006	964761.2699	2182	0	Vent
22	-116.422691	17.89499	2369	17.816007	-116.485622	17.950209	-116.364745	359.2	-6902866.16	1059734.225	2395	0	Vent
23	-115.050558	17.14972	2276	17.115717	-115.114978	17.213573	-114.927001	596.1	-6820534.828	1017174.905	2284	0	Vent
24	-110.198979	30.666668	3378	30.636776	-110.223071	30.661677	-110.20845	268.5	-6532984.356	1815929.58	3382	0	Vent
25	-112.004168	29.657293	3189	29.636853	-112.00679	29.674544	-112.003935	353.2	-6639480.314	1757193.351	3192	0	Vent
26	-111.967714	30.040555	3052	29.966079	-111.956744	30.088026	-111.936816	114.8	-6636226.142	1777120.176	3056	0	Vent
27	-109.238413	28.758111	3550	28.741846	-109.240896	28.762666	-109.242085	537.6	-6475513.937	1703964.045	3585	0	Vent
28	-109.539401	28.071327	3558	28.061202	-109.544792	28.069494	-109.542832	277.1	-6493170.407	1663619.019	3564	0	Vent
29	-109.05965	27.857643	3481	27.849293	-109.06489	27.855003	-109.06828	321.6	-6465323.992	1651088.328	3484	0	Vent
30	-109.190188	28.069664	3529	28.022521	-109.176031	28.106397	-109.216184	265	-6473281.668	1665839.178	3553	0	Vent
31	-108.589876	28.235125	3471	28.247691	-108.597163	28.220773	-108.59523	205	-6437952.206	1673776.558	3480	0	Vent
32	-108.883381	28.161125	3508	28.087347	-108.912618	28.195612	-108.879306	279	-6452963.172	1672809.101	3539	0	Vent
33	-108.8601	28.436337	3557	28.413954	-108.856475	28.453691	-108.87908	243.2	-6453664.986	1685398.733	3562	0	Vent
34	-109.907427	30.067839	3581	30.061017	-109.912234	30.074152	-109.909322	530.2	-6515795.794	1781704.383	3680	0	Vent
35	-109.801449	29.533609	3802	29.501939	-109.832001	29.546435	-109.794286	410	-6507177.427	1752008.994	3845	0	Vent
36	-109.48695	28.461896	3505	28.494673	-109.516931	28.466833	-109.486474	209.7	-6491269.829	1689477.855	3519	0	Vent
37	-109.861137	27.838386	3685	27.851243	-109.886611	27.827925	-109.835453	508.2	-6513449.692	1650657.766	3714	0	Vent
38	-110.278994	26.667064	3458	26.667585	-110.288958	26.66119	-110.275722	605.5	-6536737.085	1579789.376	3467	0	Vent
39	-110.372571	26.314832	3344	26.319368	-110.371678	26.29245	-110.381494	189.9	-6541852.228	1559858.727	3348	0	Vent
40	-109.763612	25.532929	3415	25.535763	-109.776493	25.524699	-109.760432	870.7	-6506949.576	1513587.799	3423	0	Vent
41	-110.110312	23.041068	3078	23.025304	-110.118521	23.0466	-110.113287	320.2	-6526882.393	1364521.053	3088	0	Vent
42	-110.172318	22.551214	2919	22.551631	-110.187071	22.551036	-110.176482	285.2	-6530286.961	1336229.803	2940	0	Vent
43	-110.422014	23.737572	3086	23.724545	-110.435815	23.73668	-110.419991	483.8	-6546238.51	1406136.171	3104	0	Vent
44	-110.824862	24.352369	3071	24.261652	-110.850798	24.433449	-110.80416	218.7	-6569893.633	1444160.199	3074	0	Vent
45	-110.631693	25.554308	3314	25.576556	-110.651204	25.53325	-110.629789	322.9	-6558404.826	1515396.658	3321	0	Vent
46	-109.82112	27.037823	3529	27.020572	-109.838728	27.072682	-109.798039	256.7	-6509286.434	1603461.314	3535	0	Vent
47	-110.190665	27.746379	3716	27.736504	-110.198518	27.754588	-110.185193	244.4	-6532017.647	1644129.294	3709	0	Vent
48	-109.802424	24.680684	3114	24.726806	-109.817092	24.63829	-109.79996	234.4	-6508071.078	1465347.672	3123	0	Vent
49	-109.619677	24.305841	3153	24.309721	-109.621821	24.292685	-109.622726	296.2	-6497732.422	1440861.032	3153	0	Vent
50	-109.69773	23.634677	3141	23.667317	-109.696222	23.582287	-109.704062	832.2	-6501919.661	1401045.506	3175	0	Vent
51	-113.042142	27.62705	2862	27.616572	-113.087973	27.62215	-113.023296	242.3	-6703242.875	1637281.087	2870	0	Vent
52	-113.143873	27.589326	2905	27.575983	-113.158045	27.584878	-113.143873	176.9	-6707135.865	1634388.456	2917	0	Vent
53	-112.629958	26.893246	2910	26.871913	-112.668252	26.903724	-112.588649	366.7	-6674194.189	1594592.549	2920	0	Vent
54	-112.219854	25.989424	3031	25.957349	-112.319752	26.010173	-112.1984	258.6	-6650553.922	1540460.247	3037	0	Vent
55	-111.812617	25.747662	3113	25.76176	-111.824752	25.727853	-111.811189	276.6	-6627455.931	1526062.152	3114	0	Vent
56	-114.020603	28.355341	2643	28.334461	-114.05915	28.381217	-113.970277	356.9	-6758477.494	1681253.536	2704	0	Vent
57	-114.227851	27.770551	2628	27.750861	-114.234677	27.79384	-114.225308	267	-6770880.539	1645041.65	2630	0	Vent
58	-113.199347	25.432665	2844	25.387381	-113.210203	25.494308	-113.189532	337.5	-6709797.817	1508931.021	2879	0	Vent
59	-106.807257	3.14738	5828	3.122767	-106.816478	3.15489	-106.809191	321.6	-6330946.714	185924.6067	5836	0	Vent
60	-106.766522	2.720868	5762	2.707409	-106.770983	2.72124	-106.768752	163.6	-6328840.999	160893.5926	5762	0	Vent
61	-106.640085	2.417064	5713	2.409703	-106.653321	2.413569	-106.633542	188.2	-6322167.726	142856.0906	5718	0	Vent
62	-106.899013	2.233286	5621	2.213879	-106.909423	2.240201	-106.896782	375.9	-6336152.777	132170.025	5625	0	Vent
63	-106.707083	2.08272	5637	2.178553	-106.652984	2.027457	-106.737693	170.7	-6321835.197	128937.6763	5662	0	Vent
64	-106.567513	1.991343	5627	1.996176	-106.579113	1.968961	-106.553385	123.4	-6317586.404	118385.1683	5631	0	Vent
65	-106.522637	2.101396	5646	2.031972	-106.578987	2.149231	-106.471245	174.6	-6312468.029	126637.1486	5653	0	Vent
66	-106.753072	1.877015	5705	1.861501	-106.772678	1.881489	-106.742412	300	-6327383.681	111356.8434	5714	0	Vent
67	-106.213312	0.327485	5643	0.314446	-106.230064	0.342618	-106.195609	296.3	-6296337.405	19128.08519	5647	0	Vent
68	-106.103773	-1.016423	5669	-1.06236	-106.146226	-1.023099	-106.116959	281.8	-6289402.362	-59553.37438	5673	0	Vent
69	-105.963209	-1.417854	5654	-1.432333	-105.973274	-1.398164	-105.954048	154.8	-6281868.053	-85768.50048	5663	0	Vent
70	-105.843393	4.702683	6218	4.689555	-105.854982	4.713526	-105.838398	854.7	-6273217.329	279482.1358	6224	0	Vent
71	-105.940099	4.665624	6182	4.651679	-105.954572	4.675499	-105.934672	1067.2	-6279054.989	277232.5872	6186	0	Vent
72	-105.911158	4.483153	6240	4.457599	-105.922917	4.497551	-105.910102	221.3	-6278757.327	264260.8374	6248	0	Vent
73	-105.727275	4.447506	6330	4.42949	-105.744462	4.452255	-105.722149	239.6	-6267121.481	263341.0755	6337	0	Vent
74	-105.897732	4.384259	6223	4.370464	-105.906778	4.394284	-105.899089	238.6	-6276961.946	260344.8528	6224	0	Vent
75	-105.814205	4.282385	6209	4.261806	-105.827472	4.290753	-105.812245	131.2	-6272796.114	252556.2624	6214	0	Vent
76	-105.634302	4.300456	6198	4.276409	-105.645157	4.321035	-105.626613	187.4	-6262100.945	253913.6743	6207	0	Vent
77	-105.941904	3.875595	6096	3.865268	-105.952307	3.878083	-105.943412	395.2	-6279549.522	229866.045	6096	0	Vent
78	-105.960377	3.829414	6082	3.814414	-105.972438	3.840496	-105.956306	140	-6281573.218	225756.0879	6088	0	Vent
79	-105.828662	3.591685	6085	3.595379	-105.833788	3.583619	-105.831828	408.1	-6272674.19	212714.0991	6088	0	Vent
80	-105.901346	3.620598	6022	3.587656	-105.925317	3.645851	-105.891848	158.5	-6277335.761	214216.5596	6022	0	Vent
81	-105.774048	3.284886	5884	3.263402	-105.782491	3.288278	-105.777214	642.3	-6270710.598	194706.3663	5888	0	Vent
82	-106.180035	3.447521	5925	3.428601	-106.218178	3.516194	-106.13541	65	-6290823.377	208561.767	5947	0	Vent
83	-106.024876	3.04248	5895	3.037279	-106.030153	3.049491	-106.025178	183.4	-6284685.557	179940.1161	5898	0	Vent
84	-106.408155	3.13928	5840	3.088699	-106.435594	3.17584	-106.394435	168.2	-6306938.839	186388.7438	5852	0	Vent
85	-106.298763	3.282265	5870	3.246157	-106.318814	3.31385	-106.282933	274.3	-6299615.451	196642.678	5874	0	Vent
86	-106.25914	2.91705	5791	2.883311	-106.278936	2.947652	-106.246766	98	-6300907.137	170178.0984	5800	0	Vent
