	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
0	0	-122.418	22.5376	357	22.5073	-122.441	22.5477	-122.392	3093.6	-7.25767e+06	1.33621e+06	447	0	Vent		3608.16	1.16633	1	Equant	0	0	Olympus
1	1	-109.17	15.9538	1974	15.8947	-109.182	16.0065	-109.166	210.6	-6.4709e+06	947230	1976	0	Vent	8.03223	6682.44	31.7305	0	NotEquant	0	1	NE Ascreaus
2	2	-110.249	14.8536	1998	14.8585	-110.277	14.8468	-110.215	301.5	-6.53709e+06	881006	2012	0	Vent	-78.9754	3604.72	11.956	0	NotEquant	0	1	NE Ascreaus
3	3	-107.888	14.8094	1799	14.7947	-107.892	14.8278	-107.886	278.3	-6.39541e+06	878678	1805	0	Vent	8.69911	1979.72	7.1136	0	NotEquant	0	1	NE Ascreaus
4	4	-107.972	14.1622	1726	14.168	-108.01	14.1404	-107.949	432.1	-6.40147e+06	839361	1728	0	Vent	-64.787	3832.7	8.86995	0	NotEquant	0	1	NE Ascreaus
5	5	-108.583	14.7627	1944	14.7619	-108.592	14.7478	-108.578	901.3	-6.43711e+06	874515	1948	0	Vent		1136.73	1.26122	1	Equant	0	1	NE Ascreaus
6	6	-111.211	21.7254	2606	21.7165	-111.234	21.7208	-111.199	960.5	-6.59319e+06	1.28756e+06	2769	0	Vent	82.4849	1939.25	2.019	0	NotEquant	0	2	Ceraunius
7	7	-110.794	20.1751	2747	20.1885	-110.802	20.1526	-110.795	883.8	-6.56809e+06	1.1959e+06	2882	0	Vent	-10.9084	2164.97	2.44961	0	NotEquant	0	2	Ceraunius
8	8	-111.165	20.4844	2748	20.4165	-111.232	20.549	-111.096	578.5	-6.59133e+06	1.21302e+06	2775	0	Vent	43.8667	10881.2	18.8093	0	NotEquant	0	2	Ceraunius
9	9	-110.525	20.7502	2769	20.6491	-110.655	20.8388	-110.4	745.8	-6.54415e+06	1.23429e+06	2803	0	Vent	51.4654	18040	24.1888	0	NotEquant	0	2	Ceraunius
10	10	-103.787	3.65327	5397	3.6445	-103.795	3.64108	-103.78	236.5	-6.15134e+06	215606	5392	0	Vent	-76.8562	891.649	3.77018	0	NotEquant	0	3	East Pavonis
11	11	-101.802	7.16258	4096	7.01684	-101.891	7.31189	-101.723	268.1	-6.03975e+06	416077	4124	0	Vent	29.4174	20043.4	74.7608	0	NotEquant	0	3	East Pavonis
12	12	-101.936	6.92383	4152	6.9394	-101.943	6.89581	-101.942	176.3	-6.04251e+06	408642	4156	0	Vent	-1.73884	2580.38	14.6363	0	NotEquant	0	3	East Pavonis
13	13	-97.2693	12.6469	3065	12.6353	-97.2763	12.634	-97.2718	234.4	-5.76562e+06	749353	3065	0	Vent		270.533	1.15415	1	Equant	0	1	NE Ascreaus
14	14	-104.493	16.2725	2852	16.2702	-104.483	16.2636	-104.483	254	-6.19293e+06	964002	2865	0	Vent	1.00011	387.246	1.52459	0	NotEquant	0	1	NE Ascreaus
15	15	-127.221	17.7078	1060	17.7251	-127.303	17.6594	-127.158	224.1	-7.53783e+06	1.04773e+06	1065	0	Vent	-64.5157	9023.6	40.2659	0	NotEquant	0	0	Olympus
16	16	-128.1	16.6853	924	16.6834	-128.109	16.6807	-128.096	156.6	-7.5934e+06	988873	926	0	Vent	-78.8006	797.382	5.09184	0	NotEquant	0	0	Olympus
17	17	-127.962	16.6985	960	16.6986	-127.975	16.696	-127.958	166	-7.58558e+06	989905	962	0	Vent	-80.9248	959.286	5.77883	0	NotEquant	0	0	Olympus
18	18	-127.868	15.3344	1023	15.3048	-127.896	15.3505	-127.844	254.4	-7.579e+06	909274	1026	0	Vent	47.8509	4028.61	15.8357	0	NotEquant	0	0	Olympus
19	19	-127.335	16.3692	1154	16.3872	-127.358	16.3442	-127.329	254.3	-7.54847e+06	970364	1176	0	Vent	-32.3567	3016.43	11.8617	0	NotEquant	0	0	Olympus
20	20	-127.404	16.9472	1090	16.9446	-127.429	16.9385	-127.391	249.3	-7.55087e+06	1.00378e+06	1096	0	Vent	-80.5462	2184.54	8.7627	0	NotEquant	0	0	Olympus
21	21	-117.635	16.2926	2135	16.1896	-117.67	16.385	-117.62	564.5	-6.9724e+06	964761	2182	0	Vent	13.7832	11905.1	21.0896	0	NotEquant	0	2	Ceraunius
22	22	-116.423	17.895	2369	17.816	-116.486	17.9502	-116.365	359.2	-6.90287e+06	1.05973e+06	2395	0	Vent	40.5844	10458.2	29.1153	0	NotEquant	0	2	Ceraunius
23	23	-115.051	17.1497	2276	17.1157	-115.115	17.2136	-114.927	596.1	-6.82053e+06	1.01717e+06	2284	0	Vent	61.3889	12101.5	20.3011	0	NotEquant	0	2	Ceraunius
24	24	-110.199	30.6667	3378	30.6368	-110.223	30.6617	-110.208	268.5	-6.53298e+06	1.81593e+06	3382	0	Vent	26.7965	1650.61	6.14753	0	NotEquant	0	2	Ceraunius
25	25	-112.004	29.6573	3189	29.6369	-112.007	29.6745	-112.004	353.2	-6.63948e+06	1.75719e+06	3192	0	Vent	3.76539	2234.88	6.32751	0	NotEquant	0	2	Ceraunius
26	26	-111.968	30.0406	3052	29.9661	-111.957	30.088	-111.937	114.8	-6.63623e+06	1.77712e+06	3056	0	Vent	8.04795	7287.05	63.4761	0	NotEquant	0	2	Ceraunius
27	27	-109.238	28.7581	3550	28.7418	-109.241	28.7627	-109.242	537.6	-6.47551e+06	1.70396e+06	3585	0	Vent	-2.86598	1233.39	2.29426	0	NotEquant	0	2	Ceraunius
28	28	-109.539	28.0713	3558	28.0612	-109.545	28.0695	-109.543	277.1	-6.49317e+06	1.66362e+06	3564	0	Vent	11.7812	501.168	1.80862	0	NotEquant	0	2	Ceraunius
29	29	-109.06	27.8576	3481	27.8493	-109.065	27.855	-109.068	321.6	-6.46532e+06	1.65109e+06	3484	0	Vent		381.558	1.18644	1	Equant	0	2	Ceraunius
30	30	-109.19	28.0697	3529	28.0225	-109.176	28.1064	-109.216	265	-6.47328e+06	1.66584e+06	3553	0	Vent	-22.8912	5387.28	20.3294	0	NotEquant	0	2	Ceraunius
31	31	-108.59	28.2351	3471	28.2477	-108.597	28.2208	-108.595	205	-6.43795e+06	1.67378e+06	3480	0	Vent	-3.62055	1595.83	7.78455	0	NotEquant	0	2	Ceraunius
32	32	-108.883	28.1611	3508	28.0873	-108.913	28.1956	-108.879	279	-6.45296e+06	1.67281e+06	3539	0	Vent	15.172	6637.26	23.7895	0	NotEquant	0	2	Ceraunius
33	33	-108.86	28.4363	3557	28.414	-108.856	28.4537	-108.879	243.2	-6.45366e+06	1.6854e+06	3562	0	Vent	-26.5707	2628.87	10.8095	0	NotEquant	0	2	Ceraunius
34	34	-109.907	30.0678	3581	30.061	-109.912	30.0742	-109.909	530.2	-6.5158e+06	1.7817e+06	3680	0	Vent		791.329	1.49251	1	Equant	0	2	Ceraunius
35	35	-109.801	29.5336	3802	29.5019	-109.832	29.5464	-109.794	410	-6.50718e+06	1.75201e+06	3845	0	Vent	36.401	3271.27	7.97872	0	NotEquant	0	2	Ceraunius
36	36	-109.487	28.4619	3505	28.4947	-109.517	28.4668	-109.486	209.7	-6.49127e+06	1.68948e+06	3519	0	Vent	-43.8859	2285.21	10.8975	0	NotEquant	0	2	Ceraunius
37	37	-109.861	27.8384	3685	27.8512	-109.887	27.8279	-109.835	508.2	-6.51345e+06	1.65066e+06	3714	0	Vent	-62.7425	3011.17	5.92517	0	NotEquant	0	2	Ceraunius
38	38	-110.279	26.6671	3458	26.6676	-110.289	26.6612	-110.276	605.5	-6.53674e+06	1.57979e+06	3467	0	Vent		795.579	1.31392	1	Equant	0	2	Ceraunius
